smiles,AR,rationale,rationale_score
['CCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)CO'],0.373,,
['CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1'],0.175,,
['CC[N+](CC)(CC)CCOc1ccc(C=Cc2ccccc2)cc1'],0.151,,
['O=C(Oc1ccccc1)c2cccc(c2)C(=O)Oc3ccccc3'],0.212,,
['SCC(=O)OCCOC(=O)CS'],0.033,,
['C(CSc1ccccc1)Sc2ccccc2'],0.119,,
['CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C'],0.318,,
['CC12CCC3C(CCC4=C(O)C(=O)CCC34C)C1CCC2=O'],0.445,,
['CCn1c2ccccc2c3cc(ccc13)[N+](=O)[O-]'],0.252,,
['COC(=O)Nc1nc2cc(ccc2[nH]1)S(=O)c3ccccc3'],0.166,,
['Cc1ccc(O)c(c1)n2nc3ccccc3n2'],0.216,,
['NNc1ccc(cc1)C(=O)O'],0.086,,
['Nc1c2CCCCc2nc3ccccc13'],0.281,,
['Nc1ccc2ccccc2c1'],0.206,,
['Oc1ccc(cc1)C(=O)Oc2ccccc2'],0.171,,
['[O-][N+](=Nc1ccccc1)c2ccccc2'],0.155,,
['c1ccc(cc1)c2ccc(cc2)c3ccccc3'],0.242,,
['o1cccc1c2nc3ccccc3[nH]2'],0.265,,
['CCOC(=O)C(=C(c1ccccc1)c2ccccc2)C#N'],0.217,,
['Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc2ccc(O)c3CCCc23'],0.205,,
['FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O'],0.183,,
['c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56'],0.480,,
['CC(=O)CC(C1=C(O)Oc2ccccc2C1=O)c3ccccc3'],0.198,,
['CC(=O)Oc1ccc(cc1CCl)[N+](=O)[O-]'],0.096,,
['CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N'],0.094,,
['CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1'],0.057,,
['CC(C)CC(C)CC(C)CC(C)COC(=O)c1ccccc1C(=O)OCC(C)CC(C)CC(C)CC(C)C'],0.055,,
['CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O'],0.139,,
['CC1=CC(=O)Oc2c(C)c3oc(C)cc3cc12'],0.285,,
['CC1=CC(C)(C)Nc2ccccc12'],0.146,,
['CCC(=O)OCCC(C)CCC=C(C)C'],0.030,,
['CCCCCC1=CC=CC(=O)O1'],0.078,,
['CCCCCC=CCC=CCCCCCCCC(=O)OCC'],0.054,,
['CCCCCCCCCOCC1CO1'],0.069,,
['CCCNC(C)(C)COC(=O)c1ccccc1'],0.048,,
['CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc2ccc(OC)cc2'],0.129,,
['CCOC(=O)C(C)(N)Cc1ccc(O)c(O)c1'],0.090,,
['CCOP(=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C'],0.175,,
['COC1C(OC(=O)N)C(O)C(Oc2ccc3C(=C(NC(=O)c4ccc(O)c(CC=C(C)C)c4)C(=O)Oc3c2C)O)OC1(C)C'],0.191,,
['COc1c2OC(=O)C=Cc2cc3ccoc13'],0.324,,
['COc1ccc(cc1)S(=O)(=O)Nc2nnc(CC(C)C)s2'],0.075,,
['Cc1nc(oc1COC(C)(C)C(=O)O)c2ccc(Cl)cc2'],0.117,,
['FC(Cl)(Cl)Cl'],0.006,,
['Nc1c(Cl)cc(Cl)cc1[N+](=O)[O-]'],0.133,,
['Nc1ccc(Oc2ccc(N)cc2)cc1'],0.185,,
['O=C1CCc2cc(OCCCCc3nnnn3C4CCCCC4)ccc2N1'],0.173,,
['OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3'],0.178,,
['OC(=O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1'],0.067,,
['OC(=O)Cc1ccc(cc1)c2ccccc2'],0.125,,
['OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F'],0.193,,
['Oc1cccc2ccccc12'],0.225,,
['Oc1nc2ccccc2n1C3=CCN(CCCC(=O)c4ccc(F)cc4)CC3'],0.193,,
['[O-][N+](=O)c1ccc(Oc2ccc(cc2)[N+](=O)[O-])cc1'],0.153,,
['[O-][N+](=O)c1cccc(c1)[N+](=O)[O-]'],0.084,,
['CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2'],0.117,,
['COC(C1Cc2cc3cc(OC4CC(OC5CC(O)C(O)C(C)O5)C(O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)C1OC6CC(OC7CC(OC8CC(C)(O)C(O)C(C)O8)C(O)C(C)O7)C(O)C(C)O6)C(=O)C(O)C(C)O'],0.222,,
['Nc1ccc2cc3ccc(N)cc3nc2c1'],0.277,,
['Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3'],0.225,,
['OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl'],0.242,,
['Oc1ccc(cc1)C(=C(Cl)Cl)c2ccc(O)cc2'],0.222,,
['c1csc(c1)c2ccc(s2)c3cccs3'],0.349,,
['CC(=C)C(=O)Nc1ccc(Cl)c(Cl)c1'],0.107,,
['CC(=O)OCC(=O)C12OC(C)(C)OC1CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC23C'],0.427,,
['CC(C)(c1ccc(O)cc1)c2ccc(O)cc2'],0.149,,
['CC12CCC3C(CC=C4CC(O)CCC34C)C1CCC2=O'],0.395,,
['CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O'],0.434,,
['CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O'],0.400,,
['CC1CC2C(CCC3(C)C2CCC3(OC(=O)C)C(=O)C)C4(C)CCC(=O)C=C14'],0.384,,
['CC1CC2C3CC(F)C4=CC(=O)C(=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO)Cl'],0.491,,
['CC1SC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CCN(CC5=C(C)OC(=O)O5)CC4'],0.200,,
['CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO'],0.459,,
['COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1'],0.172,,
['COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O'],0.296,,
['COc1ccc2nc(NC(=O)Nc3ccccc3)sc2c1'],0.203,,
['Clc1ccc2N(CC3CC3)C(=O)CN=C(c4ccccc4)c2c1'],0.275,,
['Nc1nc2ccc(OC(F)(F)F)cc2s1'],0.210,,
['O=C(C=CC=Cc1ccc2OCOc2c1)N3CCCCC3'],0.209,,
['O=C1CCCc2c1cc3ccc4cccc5ccc2c3c45'],0.426,,
['CC(=O)Nc1ccc2c(Cc3ccccc23)c1'],0.221,,
['CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C'],0.405,,
['CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C'],0.376,,
['CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C'],0.358,,
['CC(C)COc1ccc(cc1C#N)c2nc(C)c(s2)C(=O)O'],0.139,,
['CC(C)N(C(=O)COc1nnc(s1)C(F)(F)F)c2ccc(F)cc2'],0.140,,
['CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO'],0.470,,
['CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)OCOC(=O)C4N5C(CC5=O)S(=O)(=O)C4(C)C'],0.200,,
['CC1(Cn2ccnn2)C(N3C(CC3=O)S1(=O)=O)C(=O)O'],0.195,,
['CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C'],0.428,,
['CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC=C'],0.438,,
['CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO'],0.483,,
['CC12CC(O)C3(F)C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO'],0.458,,
['CC12CC(O)C3C(CC(F)C4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO'],0.461,,
['CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO'],0.453,,
['CC12CCC(=O)C=C1CCC3C4CCC(O)(C(=O)CO)C4(C)CC(O)C23'],0.431,,
['CC12CCC(=O)C=C1CCC3C4CCC(O)(C(=O)COC(=O)CCC(=O)O)C4(C)CC(O)C23'],0.297,,
['CC12CCC3C(CC=C4CC(O)CCC34C)C1CCC2O'],0.398,,
['CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C'],0.448,,
['CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2O'],0.411,,
['CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C'],0.437,,
['CC12CCC3C(CCc4cc(O)ccc34)C1CCC2=O'],0.392,,
['CC1=C(C)S(=O)(=O)CCS1(=O)=O'],0.068,,
['CC1CC2C3CCC(C(=O)C)C3(C)CC(O)C2C4(C)CCC(=O)C=C14'],0.408,,
['CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14'],0.485,,
['CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C'],0.415,,
['CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O'],0.329,,
['CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO'],0.457,,
['CCC(=O)OC1(C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)SCF'],0.458,,
['CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C'],0.366,,
['CCC(Cl)CC(Cl)C(Cl)C(Cl)C(Cl)C(C)Cl'],0.070,,
['CCC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(O)C#C'],0.473,,
['CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1O'],0.402,,
['CCCC(=O)OCC(OC(=O)CCC)C(OC(=O)CCC)C(CN1C2=NC(=O)NC(=O)C2=Nc3cc(C)c(C)cc13)OC(=O)CCC'],0.110,,
['CCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)CO'],0.361,,
['CCCCCCCCCCCCCCCCCCOCC(O)CO'],0.051,,
['CCCCCCCCCCCCCCCCn1cc[n+](C)c1'],0.068,,
['CCCCCCCCCCCCn1cc[n+](C)c1'],0.064,,
['CCCCOC(=O)c1ccc(O)cc1'],0.093,,
['CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+](=O)[O-]'],0.162,,
['CN(C)c1ccc(cc1)C2(OC(=O)c3cc(ccc23)N(C)C)c4ccc(cc4)N(C)C'],0.230,,
['COC(=O)C1(C)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C'],0.472,,
['CON(C)C(=O)Nc1ccc(Br)c(Cl)c1'],0.100,,
['CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1'],0.100,,
['COc1ccc(C=CS(=O)(=O)NC(=O)c2ccc(C)cc2Cl)cc1'],0.105,,
['Clc1ccc(cc1)N=C=O'],0.107,,
['Clc1ccccc1c2onc(n2)c3ccncc3'],0.243,,
['Cn1cnc(c1Sc2[nH]cnc3ncnc23)[N+](=O)[O-]'],0.177,,
['NC(=O)N(O)C1COc2cc(OCc3ccccc3)ccc12'],0.171,,
['NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O'],0.173,,
['O=C1C=C(Oc2ccccc12)c3ccccc3'],0.271,,
['Oc1c(ccc2ccccc12)C(=O)Oc3ccccc3'],0.269,,
['Oc1cccc(Nc2ccccc2)c1'],0.154,,
['c1ccc2cc3c(ccc4ccccc34)cc2c1'],0.363,,
['CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(Cc2cnc(C)nc2N)C=O'],0.082,,
['CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-]'],0.075,,
['CC(C)CCOC(=O)c1ccc(cc1)N(C)C'],0.064,,
['CC(C)c1ccc(NC(=O)N(C)C)cc1'],0.063,,
['CC(C)c1ccc2Sc3ccccc3C(=O)c2c1'],0.248,,
['CC(COc1ccc(Oc2ccccc2)cc1)Oc3ccccn3'],0.179,,
['CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-]'],0.150,,
['CC12CCC3C(CCC45OC4C(=C(CC35C)C#N)O)C1CCC2O'],0.551,CC12C[CH:1]=[CH:1]C3OC31CCC1C2CC[CH2:1][CH2:1]1,0.523
['CC1=C(SCCO1)C(=O)Nc2ccccc2'],0.159,,
['CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O'],0.140,,
['CCCCC(CC)COC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)OCC(CC)CCCC'],0.141,,
['CCCCCCn1cc[n+](C)c1'],0.054,,
['CCOC(=O)c1ccc(cc1)N(C)C'],0.088,,
['CCc1cccc(C)c1N(C(C)COC)C(=O)CCl'],0.112,,
['CN1C(=O)C=C(Oc2ccc(F)cc2F)c3cnc(NCC(C)(C)O)nc13'],0.111,,
['CN1CCN(CC1)c2cc3N(C)c4ccccc4Oc3nn2'],0.206,,
['CNC1=C(Cl)C(=O)N(N=C1)c2cccc(c2)C(F)(F)F'],0.173,,
['COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1'],0.126,,
['COC1=CC(=O)OC(=C1)C=Cc2ccccc2'],0.183,,
['COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1'],0.186,,
['COc1ccc2cc(CCC(=O)C)ccc2c1'],0.137,,
['COc1ccc2nc(N)sc2c1'],0.239,,
['Cc1cc(O)c2c(O)c3c(O)cccc3cc2c1'],0.325,,
['Fc1ccc(cc1)N2CCN(CCCN3c4cccc5cccc(c45)S3(=O)=O)CC2'],0.191,,
['Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2'],0.161,,
['NC(=N)N=C(N)NCCc1ccccc1'],0.062,,
['NC(=O)Nc1ccc(Cl)c(Cl)c1'],0.089,,
['NC(Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O'],0.173,,
['NNCCc1ccccc1'],0.062,,
['NNc1nncc2ccccc12'],0.192,,
['Nc1ccc(cc1)c2ccc(N)cc2'],0.187,,
['Nc1ccc(cc1)c2ccccc2'],0.185,,
['O=C(C(c1ccccc1)c2ccccc2)C3C(=O)c4ccccc4C3=O'],0.291,,
['O=C(CC(=O)c1ccccc1)c2ccccc2'],0.139,,
['O=C(Nc1ccccc1)Nc2ccccc2'],0.122,,
['O=C(OCCc1ccccc1)C=Cc2ccccc2'],0.130,,
['O=C(OCCc1ccccc1)c2ccccc2'],0.126,,
['c1ccc(cc1)c2cccc(c2)c3ccccc3'],0.250,,
['c1ccc2[nH]c(nc2c1)c3cscn3'],0.264,,
['C(COCC1CO1)OCC2CO2'],0.090,,
['C(c1ccccc1)[n+]2cccc3ccccc23'],0.175,,
['CC(C)CC(C)(O)C#CC(C)(O)CC(C)C'],0.022,,
['CC(C)COC(=O)c1ccc(N)cc1'],0.064,,
['CC(C)c1ccc2cc(ccc2c1)C(C)C'],0.124,,
['CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn3cncn3'],0.210,,
['CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO'],0.440,,
['CC12CCC(=O)C=C1CCC3C4CCC(O)(C(=O)CO)C4(C)CC(=O)C23'],0.416,,
['CC1CCCC1'],0.061,,
['CCC(CO)NC(=O)C1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34'],0.219,,
['CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2'],0.192,,
['CCCC1CCCC(=O)O1'],0.074,,
['CCCCC(Cn1cncn1)(C#N)c2ccc(Cl)cc2'],0.143,,
['CCCCCC=CCC=CCCCCCCCC(=O)O'],0.045,,
['CCCCNc1ccc(cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC'],0.057,,
['CCCCOc1ccc(CC(=O)NO)cc1'],0.076,,
['CCCOC(=O)c1ccc(N)cc1'],0.093,,
['CCOC(=O)c1ccc(O)cc1'],0.097,,
['CCOP(=S)(OCC)Oc1cc(on1)c2ccccc2'],0.158,,
['CCOc1ccccc1OCCNC(C)Cc2ccc(OC)c(c2)S(=O)(=O)N'],0.083,,
['CCOc1nc(F)cc2nc(nn12)S(=O)(=O)Nc3c(Cl)cccc3Cl'],0.133,,
['CN1C(=O)N(C(=O)C=C1C(F)(F)F)c2ccc(Cl)c(c2)C(=O)OC(C)(C)C(=O)OCC=C'],0.143,,
['CN1C=C(C(=O)C(=C1)c2cccc(c2)C(F)(F)F)c3ccccc3'],0.232,,
['CN1CC(=O)N=C1NC(=O)Nc2cccc(Cl)c2'],0.110,,
['COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(=O)C)C1C)C)c(C=NN5CCN(C)CC5)c(O)c4c3C2=O'],0.200,,
['COc1c2C=CC(=O)Oc2cc3occc13'],0.325,,
['COc1ccc(cc1)n2nc(cc2c3ccc(cc3)S(=O)C)C(F)F'],0.194,,
['CSc1ccc(cc1)C(=O)c2[nH]c(O)nc2C'],0.164,,
['Cc1cc(ccc1N)c2ccc(N)c(C)c2'],0.188,,
['Clc1ccc(OS(=O)(=O)c2ccccc2)c(Cl)c1'],0.123,,
['Clc1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2'],0.119,,
['Clc1ccc(cc1)S(=O)(=O)c2ccccc2'],0.116,,
['Clc1ccccc1c2nnc(nn2)c3ccccc3Cl'],0.229,,
['Clc1nc(Cl)c(Cl)c(Cl)c1Cl'],0.173,,
['IC#CCCCCCCCCC(=O)Oc1ccccc1'],0.102,,
['Nc1ccc(Cl)cc1'],0.088,,
['OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F'],0.243,,
['OC(=O)CCCCCCNC1c2ccccc2CCc3ccccc13'],0.128,,
['OC(=O)CN1C(=O)N(Cc2ccc(Br)cc2F)C(=O)c3ccc(Cl)cc13'],0.146,,
['OC(c1ccc(F)cc1)(c2cncnc2)c3ccccc3Cl'],0.246,,
['ONc1ccccc1'],0.075,,
['Oc1ccc(Cl)c(Cl)c1Cl'],0.163,,
['c1ccc2cc3c4ccccc4c5ccccc5c3cc2c1'],0.401,,
['c1ccc2cc3ccccc3cc2c1'],0.300,,
['C(CNCc1ccccc1)NCc2ccccc2'],0.063,,
['C(Cc1ccncc1)Cc2ccncc2'],0.117,,
['C1CCCNCC1'],0.041,,
['C1CN2CC(N=C2S1)c3ccccc3'],0.179,,
['CC(=O)CC(C1=C(O)Oc2ccccc2C1=O)c3ccc(Cl)cc3'],0.201,,
['CC(=O)CC(C1=C(O)Oc2ccccc2C1=O)c3ccc(cc3)[N+](=O)[O-]'],0.186,,
['CC(=O)OCC1=C(N2C(SC1)C(NC(=O)Cc3cccs3)C2=O)C(=O)O'],0.146,,
['CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C'],0.097,,
['CC(=O)Oc1cc2CN(CCc2s1)C(C(=O)C3CC3)c4ccccc4F'],0.221,,
['CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2'],0.165,,
['CC(C(=O)O)c1cccc(Oc2ccccc2)c1'],0.148,,
['CC(C)(C(=O)c1cccnc1)c2cccnc2'],0.153,,
['CC(C)(C)C(=O)Oc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O'],0.064,,
['CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C'],0.230,,
['CC(C)(C1CCC(O)CC1)C2CCC(O)CC2'],0.134,,
['CC(C)(O)c1coc(c1)S(=O)(=O)NC(=O)Nc2c3CCCc3cc4CCCc24'],0.133,,
['CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O'],0.107,,
['CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(=O)O'],0.168,,
['CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3'],0.189,,
['CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C'],0.036,,
['CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C'],0.074,,
['CC(C)CCOC(=O)C=Cc1ccccc1'],0.069,,
['CC(C)Cc1ccc(CC(=O)O)cc1'],0.046,,
['CC(C)OC(=O)C'],0.012,,
['CC(C)OC(=O)OCOP(=O)(COC(C)Cn1cnc2c(N)ncnc12)OCOC(=O)OC(C)C'],0.061,,
['CC(CCOC(=O)C)CC(C)(C)C'],0.013,,
['CC(O)C1C2C(C)C(=C(N2C1=O)C(=O)O)SC3CNC(CNS(=O)(=O)N)C3'],0.099,,
['CC(O)C1C2SC(=C(N2C1=O)C(=O)O)C3CCCO3'],0.230,,
['CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O'],0.119,,
['CC12CC1(C)C(=O)N(C2=O)c3cc(Cl)cc(Cl)c3'],0.437,,
['CC12CCCC1C3CCC4CC(O)CCC4(C)C3CC2'],0.393,,
['CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1'],0.203,,
['CC1=NN(C(=O)C1)c2ccccc2'],0.154,,
['CC1C2Cc3ccc(O)cc3C1(C)CCN2CC=C(C)C'],0.185,,
['CC1CN(CC(C)N1)c2c(F)c(F)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O'],0.201,,
['CC1OC(C(O)C1O)N2C=C(F)C(=O)NC2=O'],0.123,,
['CC=CC=CC=O'],0.047,,
['CCC(C)(C)OC'],0.016,,
['CCC(C)(C)c1ccc(O)cc1'],0.077,,
['CCC1CC(N(Cc2cc(cc(c2)C(F)(F)F)C(F)(F)F)C(=O)C)c3cc(ccc3N1C(=O)OC(C)C)C(F)(F)F'],0.147,,
['CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC'],0.102,,
['CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4c5nn[nH]n5'],0.266,,
['CCCCCC(=Cc1ccccc1)C=O'],0.107,,
['CCCCCCC(O)CCCCCCCCCCC(=O)O'],0.047,,
['CCCCCCCCC=CCCCCCCCC(=O)O'],0.047,,
['CCCCCCCCCCCCCCCCOS(=O)(=O)O'],0.030,,
['CCCCCCCCCCCCOS(=O)(=O)O'],0.023,,
['CCCCCCCCCCOS(=O)(=O)O'],0.020,,
['CCCCCCCCCOS(=O)(=O)O'],0.018,,
['CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1'],0.161,,
['CCCCN(CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]'],0.111,,
['CCCCNc1ccc(cc1)C(=O)OCCN(CC)CC'],0.071,,
['CCCCOC(=O)CC(CC(=O)OCCCC)(OC(=O)C)C(=O)OCCCC'],0.063,,
['CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2'],0.134,,
['CCCCOCCOCCSC#N'],0.039,,
['CCCC[P+](CC)(CCCC)CCCC'],0.067,,
['CCCC[P+](CCCC)(CCCC)CCCC'],0.067,,
['CCCOC(=O)c1ccc(nc1)C(=O)OCCC'],0.090,,
['CCN(CC)C(=O)C(=C(C)OP(=O)(OC)OC)Cl'],0.075,,
['CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2'],0.117,,
['CCN1C=C(C(=O)O)C(=O)c2cnc(nc12)N3CCCC3'],0.148,,
['CCNC(=O)NC(=O)C(=NOC)C#N'],0.052,,
['CCOC(=O)C(=C)C#N'],0.053,,
['CCOC(Cc1ccc(OCCc2ccc(OS(=O)(=O)C)cc2)cc1)C(=O)O'],0.073,,
['CCOc1ccc(C=CC)cc1O'],0.138,,
['CCOc1ccc2ccccc2c1C(=O)NC3C4SC(C)(C)C(N4C3=O)C(=O)O'],0.223,,
['CCS(=O)(=O)CCn1c(C)ncc1[N+](=O)[O-]'],0.048,,
['CC[N+]1(CC)CCC(=C(c2ccccc2)c3ccccc3)C1C'],0.269,,
['CN1CCCN=C1C=Cc2cccs2'],0.160,,
['CNC(=O)ON=C(CSC)C(C)(C)C'],0.029,,
['CNc1[nH]cnc2ncnc12'],0.162,,
['COC(=O)C1=CCCN(C)C1'],0.064,,
['COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl'],0.205,,
['COC(C)(C)CCCC(C)CC=CC(=CC(=O)OC(C)C)C'],0.041,,
['COC1CC(=C(c2cccs2)c3cccs3)C[N+](C)(C)C1'],0.196,,
